ConversationId,TurnNo,UtteranceId,Speaker,Utterance,Intent,Slot
0,0,0_0,User,namaste,greet,O
0,1,0_1,Bot,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
0,2,0_2,User,19019 me upalabdh coaches dikhlaye,coach_layout,TrainNoOOOO
0,3,0_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) Sleeper - S9
4) Sleeper - S8
5) Sleeper - S7
6) Sleeper - S6
7) Sleeper - S5
8) Sleeper - S4
9) Sleeper - S3
10) Sleeper - S2
11) Sleeper - S1
12) AC 2 tier - AB1
13) General - GN
14) General - GN
15) Gen/Disabled - GRD",,
0,4,0_4,Bot,May I help you with anything else ?,,
0,5,0_5,User,what is the price of 2A,train_fare,OOOOOClassCode
0,6,0_6,Bot,Tell us your source station,,
0,7,0_7,User,I will travel from Vadodara junction,inform,OOOOSourceSource
0,8,0_8,Bot,Where are you looking to go?,,
0,9,0_9,User,"Sure, Ballabgarh",inform,ODestination
0,10,0_10,Bot,Total Fare is Rs.1434.0,,
0,11,0_11,Bot,Anything else I can assist you with ?,,
0,12,0_12,User,Bas aur kuch nahi,deny,OOOO
0,13,0_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
1,0,1_0,User,hi pal!,greet,OO
1,1,1_1,Bot,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
1,2,1_2,User,train me total kitne coaches hain,coach_layout,OOOOOO
1,3,1_3,Bot,Can I have your train number,,
1,4,1_4,User,Yeah its 12381,inform,OOTrainNo
1,5,1_5,Bot,"1) Engine - ENG
2) Generator - PWR
3) Sleeper - S11
4) Sleeper - S10
5) Sleeper - S9
6) Sleeper - S8
7) Sleeper - S7
8) Sleeper - S6
9) Sleeper - S5
10) Sleeper - S4
11) Sleeper - S3
12) Sleeper - S2
13) Sleeper - S1
14) Pantry - PC
15) AC 3 tier - B3
16) AC 3 tier - B2
17) AC 3 tier - B1
18) AC 2 tier - A2
19) AC 2 tier - A1
20) AC 1 tier - HA1
21) General - GN
22) General - GN
23) Generator - PWR",,
1,6,1_6,Bot,Let me know if I can help you with anything else.,,
1,7,1_7,User,what is the price of sl from Asansol junction to Aligarh junction,train_fare,OOOOOClassCodeOSourceSourceODestinationDestination
1,8,1_8,Bot,Total Fare is Rs.557.0,,
1,9,1_9,Bot,Anything else I can assist you with ?,,
1,10,1_10,User,Nahi,deny,O
1,11,1_11,Bot,Sevak se sampark karne k liye dhanyawad,,
2,0,2_0,User,hi pal!,greet,OO
2,1,2_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
2,2,2_2,User,please show me the train layout,coach_layout,OOOOOO
2,3,2_3,Bot,Please provide as your train number,,
2,4,2_4,User,Sorry man! its 14311,inform,OOOTrainNo
