Conversation_ID,Turn_No,Utterance_ID,Speaker,Utterance,Intent,Slots
0,0,0_0,USER,Hey,greet,0
0,1,0_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
0,2,0_2,USER,Train no 12303 ka running status check karo for 19-03-2020,trainStatus,00TrainNo000000Date
0,3,0_3,BOT,Train is at HOWRAH JUNCTION.,,
0,4,0_4,BOT,Sevak se sampark karne k liye dhanyawad,,
1,0,1_0,USER,namaskar ji,greet,00
1,1,1_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
1,2,1_2,USER,Train no 12648 ka current status kya hai on 17-03-2020,trainStatus,00TrainNo000000Date
1,3,1_3,BOT,Train is at H NIZAMUDDIN.,,
1,4,1_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
2,0,2_0,USER,namaste,greet,0
2,1,2_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
2,2,2_2,USER,abhi train no 22625 ka running status check karo,trainStatus,000TrainNo00000
2,3,2_3,BOT,Aap kis tareekh ko travel karenge,,
2,4,2_4,USER,18-03-2020,inform,Date
2,5,2_5,BOT,Train is at CHENNAI CENTRAL.,,
2,6,2_6,BOT,Sevak se sampark karne k liye dhanyawad,,
3,0,3_0,USER,Hey,greet,0
3,1,3_1,BOT,Hello. Apni query bataye,,
3,2,3_2,USER,abhi 12437 ka status kya hai,trainStatus,0TrainNo0000
3,3,3_3,BOT,Aap kis tareekh ko travel karenge,,
3,4,3_4,USER,17-03-2020,inform,Date
3,5,3_5,BOT,Train is at SECUNDERABAD JUNCTION.,,
3,6,3_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
4,0,4_0,USER,Hello,greet,0
4,1,4_1,BOT,Hello. Apni query bataye,,
4,2,4_2,USER,Mujhe train no 15929 ka current status janna tha,trainStatus,000TrainNo00000
4,3,4_3,BOT,Aap kis tareekh ko travel karenge,,
4,4,4_4,USER,18-03-2020,inform,Date
4,5,4_5,BOT,Train is at CHENNAI EGMORE.,,
4,6,4_6,BOT,Sevak se sampark karne k liye dhanyawad,,
5,0,5_0,USER,pranaam,greet,0
5,1,5_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
5,2,5_2,USER,train no 12517 abhi kaha hai,trainStatus,00TrainNo000
5,3,5_3,BOT,Aap kis tareekh ko travel karenge,,
5,4,5_4,USER,17-03-2020,inform,Date
5,5,5_5,BOT,Train is at KOLKATA.,,
5,6,5_6,BOT,Sevak se sampark karne k liye dhanyawad,,
6,0,6_0,USER,good evening,greet,00
